category,role,skill
Data & AI,Data Scientist,python
Data & AI,Data Scientist,pandas
Data & AI,Data Scientist,numpy
Data & AI,Data Scientist,scikit-learn
Data & AI,Data Scientist,machine learning
Data & AI,Data Scientist,statistics
Data & AI,Data Scientist,data visualization
Data & AI,Data Scientist,sql
Data & AI,Data Scientist,deep learning
Data & AI,Data Scientist,tensorflow
Data & AI,Data Scientist,pytorch
Data & AI,Data Scientist,nlp
Data & AI,Data Scientist,feature engineering
Data & AI,Data Scientist,model evaluation
Data & AI,Machine Learning Engineer,python
Data & AI,Machine Learning Engineer,tensorflow
Data & AI,Machine Learning Engineer,pytorch
Data & AI,Machine Learning Engineer,mlops
Data & AI,Machine Learning Engineer,docker
Data & AI,Machine Learning Engineer,kubernetes
Data & AI,Machine Learning Engineer,model deployment
Data & AI,Machine Learning Engineer,api
Data & AI,Machine Learning Engineer,deep learning
Data & AI,Machine Learning Engineer,data pipelines
Data & AI,Data Analyst,excel
Data & AI,Data Analyst,sql
Data & AI,Data Analyst,power bi
Data & AI,Data Analyst,tableau
Data & AI,Data Analyst,python
Data & AI,Data Analyst,pandas
Data & AI,Data Analyst,data visualization
Data & AI,Data Analyst,statistics
Data & AI,Data Analyst,reporting
Data & AI,Data Analyst,dashboarding
Data & AI,AI Engineer,python
Data & AI,AI Engineer,deep learning
Data & AI,AI Engineer,nlp
Data & AI,AI Engineer,transformers
Data & AI,AI Engineer,llm
Data & AI,AI Engineer,tensorflow
Data & AI,AI Engineer,pytorch
Data & AI,AI Engineer,huggingface
Data & AI,AI Engineer,computer vision
Software Engineering,Backend Developer,python
Software Engineering,Backend Developer,django
Software Engineering,Backend Developer,flask
Software Engineering,Backend Developer,api
Software Engineering,Backend Developer,rest
Software Engineering,Backend Developer,sql
Software Engineering,Backend Developer,postgresql
Software Engineering,Backend Developer,mongodb
Software Engineering,Backend Developer,authentication
Software Engineering,Backend Developer,microservices
Software Engineering,Frontend Developer,html
Software Engineering,Frontend Developer,css
Software Engineering,Frontend Developer,javascript
Software Engineering,Frontend Developer,react
Software Engineering,Frontend Developer,vue
Software Engineering,Frontend Developer,bootstrap
Software Engineering,Frontend Developer,responsive design
Software Engineering,Frontend Developer,ui/ux
Software Engineering,Frontend Developer,web performance
Software Engineering,Full Stack Developer,html
Software Engineering,Full Stack Developer,css
Software Engineering,Full Stack Developer,javascript
Software Engineering,Full Stack Developer,react
Software Engineering,Full Stack Developer,node.js
Software Engineering,Full Stack Developer,express
Software Engineering,Full Stack Developer,mongodb
Software Engineering,Full Stack Developer,sql
Software Engineering,Full Stack Developer,api
Software Engineering,Full Stack Developer,git
Software Engineering,Software Engineer,data structures
Software Engineering,Software Engineer,algorithms
Software Engineering,Software Engineer,oop
Software Engineering,Software Engineer,system design
Software Engineering,Software Engineer,python
Software Engineering,Software Engineer,java
Software Engineering,Software Engineer,c++
Software Engineering,Software Engineer,git
Software Engineering,Software Engineer,debugging
Cloud & DevOps,DevOps Engineer,docker
Cloud & DevOps,DevOps Engineer,kubernetes
Cloud & DevOps,DevOps Engineer,ci/cd
Cloud & DevOps,DevOps Engineer,jenkins
Cloud & DevOps,DevOps Engineer,github actions
Cloud & DevOps,DevOps Engineer,linux
Cloud & DevOps,DevOps Engineer,aws
Cloud & DevOps,DevOps Engineer,azure
Cloud & DevOps,DevOps Engineer,gcp
Cloud & DevOps,DevOps Engineer,monitoring
Cloud & DevOps,Cloud Engineer,aws
Cloud & DevOps,Cloud Engineer,azure
Cloud & DevOps,Cloud Engineer,gcp
Cloud & DevOps,Cloud Engineer,cloud architecture
Cloud & DevOps,Cloud Engineer,networking
Cloud & DevOps,Cloud Engineer,virtual machines
Cloud & DevOps,Cloud Engineer,storage
Cloud & DevOps,Cloud Engineer,security
Cloud & DevOps,Site Reliability Engineer,linux
Cloud & DevOps,Site Reliability Engineer,monitoring
Cloud & DevOps,Site Reliability Engineer,logging
Cloud & DevOps,Site Reliability Engineer,automation
Cloud & DevOps,Site Reliability Engineer,kubernetes
Cloud & DevOps,Site Reliability Engineer,incident management
Cloud & DevOps,Site Reliability Engineer,scripting
Cybersecurity,Cybersecurity Analyst,network security
Cybersecurity,Cybersecurity Analyst,penetration testing
Cybersecurity,Cybersecurity Analyst,firewalls
Cybersecurity,Cybersecurity Analyst,siem
Cybersecurity,Cybersecurity Analyst,risk analysis
Cybersecurity,Cybersecurity Analyst,cryptography
Cybersecurity,Cybersecurity Analyst,incident response
Cybersecurity,Ethical Hacker,penetration testing
Cybersecurity,Ethical Hacker,kali linux
Cybersecurity,Ethical Hacker,metasploit
Cybersecurity,Ethical Hacker,burp suite
Cybersecurity,Ethical Hacker,vulnerability scanning
Cybersecurity,Ethical Hacker,web security
Business & Analytics,Business Analyst,excel
Business & Analytics,Business Analyst,sql
Business & Analytics,Business Analyst,data analysis
Business & Analytics,Business Analyst,requirement gathering
Business & Analytics,Business Analyst,stakeholder communication
Business & Analytics,Business Analyst,process modeling
Business & Analytics,Product Analyst,sql
Business & Analytics,Product Analyst,python
Business & Analytics,Product Analyst,data analysis
Business & Analytics,Product Analyst,a/b testing
Business & Analytics,Product Analyst,product metrics
Business & Analytics,Product Analyst,user behavior analysis
